gameid; time; roundNum; trialType; condition; nameClickedObj; targetStatusClickedObj; spLocsClickedObj; lisLocsClickedObj; basiclevelClickedObj; superdomainClickedObj; alt1Name; alt1TargetStatus; alt1SpLocs; alt1LisLocs; alt1Basiclevel; alt1superdomain; alt2Name; alt2TargetStatus; alt2SpLocs; alt2LisLocs; alt2Basiclevel; alt2superdomain;numMessages;numSMessages;numLMessages;speakerMessages;listenerMessages;messageTimeStamps;refExp;sizeMentioned;colorMentioned;typeMentioned;otherFeatureMentioned;basiclevelMentioned;superClassMentioned;superclassattributeMentioned;utteranceContracted;oneMentioned;theMentioned;clickedType;clickedSize;clickedColor;colorPreNominal;sizePreNominal;;notes;;;alt1TypeLabelTest;alt1BLLabelTest;alt1DomainLabelTest;alt2TypeLabelTest;alt2BLLabelTest;alt2DomainLabelTest
8430-f;1.45E+12;62;subSuperTrial;distr33;catfish;target;4;3;fish;animal;popcorn;distrClass3;3;4;NA;snack;wardrobe;distrClass3;2;2;NA;furniture;1;1;0;fish;;1.45E+12;fish;FALSE;FALSE;FALSE;;TRUE;;;;;;catfish;NA;NA;;;;;;;popcorn, catfish;popcorn, fish;popcorn, animal;wardrobe, catfish;wardrobe, fish;wardrobe, animal
1223-7;1.45E+12;64;subSuperTrial;distr33;pug;target;2;3;dog;animal;pretzels;distrClass3;3;2;NA;snack;wardrobe;distrClass3;4;4;NA;furniture;1;1;0;pug;;1.45E+12;pug;FALSE;FALSE;TRUE;;;;;;;;pug;NA;NA;;;;;;;pretzels, pug;pretzels, dog;pretzels, animal;wardrobe, pug;wardrobe, dog;wardrobe, animal
5975-e;1.45E+12;56;subSuperTrial;distr33;goldFish;target;3;4;fish;animal;socks;distrClass3;2;3;NA;clothing;wardrobe;distrClass3;4;2;NA;furniture;1;1;0;fins;;1.45E+12;fins;FALSE;FALSE;FALSE;;;;TRUE;;;;goldFish;NA;NA;;;;;;;socks, goldFish;socks, fish;socks, animal;wardrobe, goldFish;wardrobe, fish;wardrobe, animal
7830-a;1.45E+12;7;subSuperTrial;distr33;tulip;target;4;3;flower;plant;bathrobe;distrClass3;3;2;NA;clothing;bookcase;distrClass3;2;4;NA;furniture;1;1;0;red;;1.45E+12;red;FALSE;TRUE;FALSE;;;;;;;;tulip;NA;NA;;;;;;;bathrobe, tulip;bathrobe, flower;bathrobe, plant;bookcase, tulip;bookcase, flower;bookcase, plant
9551-7;1.45E+12;29;subSuperTrial;distr33;husky;target;2;3;dog;animal;motorcycle;distrClass3;3;2;NA;vehicle;bookcase;distrClass3;4;4;NA;furniture;1;1;0;dog;;1.45E+12;dog;FALSE;FALSE;FALSE;;TRUE;;;;;;husky;NA;NA;;;;;;;motorcycle, husky;motorcycle, dog;motorcycle, animal;bookcase, husky;bookcase, dog;bookcase, animal
5512-7;1.45E+12;31;subSuperTrial;distr33;grizzlyBear;target;2;4;bear;animal;train;distrClass3;3;2;NA;vehicle;bookcase;distrClass3;4;3;NA;furniture;1;1;0;bear;;1.45E+12;bear;FALSE;FALSE;FALSE;;TRUE;;;;;;grizzlyBear;NA;NA;;;;;;;train, grizzlyBear;train, bear;train, animal;bookcase, grizzlyBear;bookcase, bear;bookcase, animal
7111-e;1.45E+12;64;subSuperTrial;distr33;hummingBird;target;2;3;bird;animal;socks;distrClass3;4;2;NA;clothing;bookcase;distrClass3;3;4;NA;furniture;1;1;0;flutter;;1.45E+12;flutter;FALSE;FALSE;FALSE;TRUE;;;;;;;hummingBird;NA;NA;;;;;;;socks, hummingBird;socks, bird;socks, animal;bookcase, hummingBird;bookcase, bird;bookcase, animal
8684-3;1.45E+12;22;subSuperTrial;distr33;rose;target;4;4;flower;plant;bison;distrClass3;3;3;NA;animal;chick;distrClass3;2;2;NA;animal;1;1;0;flower;;1.45E+12;flower;FALSE;FALSE;FALSE;;TRUE;;;;;;rose;NA;NA;;;;;;;bison, rose;bison, flower;bison, plant;chick, rose;chick, flower;chick, plant
5975-e;1.45E+12;1;subSuperTrial;distr33;coffeeTable;target;4;3;table;furniture;bathrobe;distrClass3;2;2;NA;clothing;chick;distrClass3;3;4;NA;animal;1;1;0;its made out of wood;;1.45E+12;its made out of wood;FALSE;FALSE;FALSE;TRUE;;;;;;;coffeeTable;NA;NA;;;;;;;bathrobe, coffeeTable;bathrobe, table;bathrobe, furniture;chick, coffeeTable;chick, table;chick, furniture
1223-7;1.45E+12;58;subSuperTrial;distr33;blackBear;target;4;4;bear;animal;ambulance;distrClass3;3;2;NA;vehicle;chips;distrClass3;2;3;NA;snack;1;1;0;bear;;1.45E+12;bear;FALSE;FALSE;FALSE;;TRUE;;;;;;blackBear;NA;NA;;;;;;;ambulance, blackBear;ambulance, bear;ambulance, animal;chips, blackBear;chips, bear;chips, animal
7111-e;1.45E+12;46;subSuperTrial;distr33;dalmatian;target;3;2;dog;animal;lamp;distrClass3;4;3;NA;furniture;chips;distrClass3;2;4;NA;snack;2;2;0;sports___spots;;1449257609720___1449257613156;sports;FALSE;FALSE;FALSE;TRUE;;;;;;;dalmatian;NA;NA;;;;;;;lamp, dalmatian;lamp, dog;lamp, animal;chips, dalmatian;chips, dog;chips, animal
5934-3;1.45E+12;59;subSuperTrial;distr33;sunflower;target;2;4;flower;plant;gloves;distrClass3;4;2;NA;clothing;cookies;distrClass3;3;3;NA;snack;1;1;0;sunflower;;1.45E+12;sunflower;FALSE;FALSE;TRUE;;;;;;;;sunflower;NA;NA;;;;;;;gloves, sunflower;gloves, flower;gloves, plant;cookies, sunflower;cookies, flower;cookies, plant
8684-3;1.45E+12;16;subSuperTrial;distr33;blackBear;target;3;4;bear;animal;ivy;distrClass3;2;2;NA;plant;cookies;distrClass3;4;3;NA;snack;1;1;0;animal;;1.45E+12;animal;FALSE;FALSE;FALSE;;;TRUE;;;;;blackBear;NA;NA;;;;;;;ivy, blackBear;ivy, bear;ivy, animal;cookies, blackBear;cookies, bear;cookies, animal
8286-0;1.45E+12;38;subSuperTrial;distr33;catfish;target;2;3;fish;animal;wardrobe;distrClass3;3;2;NA;furniture;cookies;distrClass3;4;4;NA;snack;1;1;0;fish;;1.45E+12;fish;FALSE;FALSE;FALSE;;TRUE;;;;;;catfish;NA;NA;;;;;;;wardrobe, catfish;wardrobe, fish;wardrobe, animal;cookies, catfish;cookies, fish;cookies, animal
9807-5;1.45E+12;45;subSuperTrial;distr33;tulip;target;2;3;flower;plant;bed;distrClass3;4;4;NA;furniture;cow;distrClass3;3;2;NA;animal;1;1;0;rose;;1.45E+12;rose;FALSE;FALSE;TRUE;;;;;;;;tulip;NA;NA;;;;;;;bed, tulip;bed, flower;bed, plant;cow, tulip;cow, flower;cow, plant
5239-5;1.45E+12;9;subSuperTrial;distr33;tShirt;target;2;2;shirt;clothing;pig;distrClass3;3;4;NA;animal;cow;distrClass3;4;3;NA;animal;1;1;0;blue;;1.45E+12;blue;FALSE;TRUE;FALSE;;;;;;;;tShirt;NA;NA;;;;;;;pig, tShirt;pig, shirt;pig, clothing;cow, tShirt;cow, shirt;cow, clothing
4517-f;1.45E+12;38;subSuperTrial;distr33;minivan;target;3;4;car;vehicle;sheep;distrClass3;4;2;NA;animal;cow;distrClass3;2;3;NA;animal;1;1;0;van;;1.45E+12;van;FALSE;FALSE;TRUE;;;;;TRUE;;;minivan;NA;NA;;;;;;;sheep, minivan;sheep, car;sheep, vehicle;cow, minivan;cow, car;cow, vehicle
1223-7;1.45E+12;27;subSuperTrial;distr33;diningTable;target;2;2;table;furniture;lobster;distrClass3;3;3;NA;animal;crocodile;distrClass3;4;4;NA;animal;1;1;0;table;;1.45E+12;table;FALSE;FALSE;FALSE;;TRUE;;;;;;diningTable;NA;NA;;;;;;;lobster, diningTable;lobster, table;lobster, furniture;crocodile, diningTable;crocodile, table;crocodile, furniture
9807-5;1.45E+12;47;subSuperTrial;distr33;jellyBeans;target;2;2;candy;snack;lamp;distrClass3;4;4;NA;furniture;crocodile;distrClass3;3;3;NA;animal;1;1;0;candy;;1.45E+12;candy;FALSE;FALSE;FALSE;;TRUE;;;;;;jellyBeans;NA;NA;;;;;;;lamp, jellyBeans;lamp, candy;lamp, snack;crocodile, jellyBeans;crocodile, candy;crocodile, snack
4842-f;1.45E+12;16;subSuperTrial;distr33;suv;target;4;2;car;vehicle;bison;distrClass3;2;4;NA;animal;dress;distrClass3;3;3;NA;clothing;1;1;0;rugged but new;;1.45E+12;rugged but new;FALSE;FALSE;FALSE;TRUE;;;;;;;suv;NA;NA;;;;;;;bison, suv;bison, car;bison, vehicle;dress, suv;dress, car;dress, vehicle
2195-2;1.45E+12;15;subSuperTrial;distr33;clownFish;target;3;2;fish;animal;grasses;distrClass3;2;3;NA;plant;dress;distrClass3;4;4;NA;clothing;1;1;0;FISH;;1.45E+12;FISH;FALSE;FALSE;FALSE;;TRUE;;;;;;clownFish;NA;NA;;;;;;;grasses, clownFish;grasses, fish;grasses, animal;dress, clownFish;dress, fish;dress, animal
3504-8;1.45E+12;71;subSuperTrial;distr33;germanShepherd;target;3;3;dog;animal;motorcycle;distrClass3;4;4;NA;vehicle;dress;distrClass3;2;2;NA;clothing;1;1;0;dog;;1.45E+12;dog;FALSE;FALSE;FALSE;;TRUE;;;;;;germanShepherd;NA;NA;;;;;;;motorcycle, germanShepherd;motorcycle, dog;motorcycle, animal;dress, germanShepherd;dress, dog;dress, animal
5934-3;1.45E+12;42;subSuperTrial;distr33;coffeeTable;target;4;3;table;furniture;bison;distrClass3;2;4;NA;animal;elephant;distrClass3;3;2;NA;animal;2;2;0;what's your dream job?___table;;1449261601742___1449261604671;what's your dream job?;FALSE;FALSE;FALSE;;TRUE;;;;;;coffeeTable;NA;NA;;;;;;;bison, coffeeTable;bison, table;bison, furniture;elephant, coffeeTable;elephant, table;elephant, furniture
8430-f;1.45E+12;47;subSuperTrial;distr33;bedsideTable;target;4;2;table;furniture;squirrel;distrClass3;2;3;NA;animal;elephant;distrClass3;3;4;NA;animal;1;1;0;desk;;1.45E+12;desk;FALSE;FALSE;FALSE;TRUE;;;;;;;bedsideTable;NA;NA;;;;;;;squirrel, bedsideTable;squirrel, table;squirrel, furniture;elephant, bedsideTable;elephant, table;elephant, furniture
8258-f;1.45E+12;63;subSuperTrial;distr33;clownFish;target;3;2;fish;animal;bed;distrClass3;2;3;NA;furniture;firetruck;distrClass3;4;4;NA;vehicle;1;1;0;fish;;1.45E+12;fish;FALSE;FALSE;FALSE;;TRUE;;;;;;clownFish;NA;NA;;;;;;;bed, clownFish;bed, fish;bed, animal;firetruck, clownFish;firetruck, fish;firetruck, animal
4393-a;1.45E+12;37;subSuperTrial;distr33;sunflower;target;2;4;flower;plant;lion;distrClass3;3;2;NA;animal;firetruck;distrClass3;4;3;NA;vehicle;1;1;0;Flower;;1.45E+12;Flower;FALSE;FALSE;FALSE;;TRUE;;;;;;sunflower;NA;NA;;;;;;;lion, sunflower;lion, flower;lion, plant;firetruck, sunflower;firetruck, flower;firetruck, plant
5628-2;1.45E+12;66;subSuperTrial;distr33;picnicTable;target;2;2;table;furniture;rabbit;distrClass3;3;4;NA;animal;firetruck;distrClass3;4;3;NA;vehicle;1;1;0;table;;1.45E+12;table;FALSE;FALSE;FALSE;;TRUE;;;;;;picnicTable;NA;NA;;;;;;;rabbit, picnicTable;rabbit, table;rabbit, furniture;firetruck, picnicTable;firetruck, table;firetruck, furniture
0198-d;1.45E+12;21;subSuperTrial;distr33;suv;target;3;4;car;vehicle;cow;distrClass3;2;3;NA;animal;grasses;distrClass3;4;2;NA;plant;1;1;0;car;;1.45E+12;car;FALSE;FALSE;FALSE;;TRUE;;;;;;suv;NA;NA;;;;;;;cow, suv;cow, car;cow, vehicle;grasses, suv;grasses, car;grasses, vehicle
2195-2;1.45E+12;25;subSuperTrial;distr33;mnMs;target;2;4;candy;snack;crocodile;distrClass3;4;3;NA;animal;grasses;distrClass3;3;2;NA;plant;1;1;0;M&M;;1.45E+12;M&M;FALSE;FALSE;TRUE;;;;;;;;mnMs;NA;NA;;;;;;;crocodile, mnMs;crocodile, candy;crocodile, snack;grasses, mnMs;grasses, candy;grasses, snack
9807-5;1.45E+12;22;subSuperTrial;distr33;minivan;target;2;4;car;vehicle;dress;distrClass3;4;2;NA;clothing;grasses;distrClass3;3;3;NA;plant;1;1;0;car;;1.45E+12;car;FALSE;FALSE;FALSE;;TRUE;;;;;;minivan;NA;NA;;;;;;;dress, minivan;dress, car;dress, vehicle;grasses, minivan;grasses, car;grasses, vehicle
7111-e;1.45E+12;7;subSuperTrial;distr33;minivan;target;2;4;car;vehicle;dress;distrClass3;3;3;NA;clothing;grasses;distrClass3;4;2;NA;plant;1;1;0;white transport;;1.45E+12;white transport;FALSE;TRUE;FALSE;;;;TRUE;;;;minivan;NA;NA;;;;;;;dress, minivan;dress, car;dress, vehicle;grasses, minivan;grasses, car;grasses, vehicle
8258-f;1.45E+12;6;subSuperTrial;distr33;polarBear;target;4;3;bear;animal;chips;distrClass3;2;4;NA;snack;grasses;distrClass3;3;2;NA;plant;1;1;0;bear;;1.45E+12;bear;FALSE;FALSE;FALSE;;TRUE;;;;;;polarBear;NA;NA;;;;;;;chips, polarBear;chips, bear;chips, animal;grasses, polarBear;grasses, bear;grasses, animal
9807-5;1.45E+12;49;subSuperTrial;distr33;pug;target;3;2;dog;animal;pretzels;distrClass3;4;3;NA;snack;grasses;distrClass3;2;4;NA;plant;1;1;0;dog;;1.45E+12;dog;FALSE;FALSE;FALSE;;TRUE;;;;;;pug;NA;NA;;;;;;;pretzels, pug;pretzels, dog;pretzels, animal;grasses, pug;grasses, dog;grasses, animal
3293-5;1.45E+12;69;subSuperTrial;distr33;poloShirt;target;3;3;shirt;clothing;rabbit;distrClass3;4;2;NA;animal;grasses;distrClass3;2;4;NA;plant;1;1;0;shirt;;1.45E+12;shirt;FALSE;FALSE;FALSE;;TRUE;;;;;;poloShirt;NA;NA;;;;;;;rabbit, poloShirt;rabbit, shirt;rabbit, clothing;grasses, poloShirt;grasses, shirt;grasses, clothing
5076-0;1.45E+12;59;subSuperTrial;distr33;rose;target;2;4;flower;plant;pretzels;distrClass3;4;3;NA;snack;horse;distrClass3;3;2;NA;animal;1;1;0;Rose;;1.45E+12;Rose;FALSE;FALSE;TRUE;;;;;;;;rose;NA;NA;;;;;;;pretzels, rose;pretzels, flower;pretzels, plant;horse, rose;horse, flower;horse, plant
3293-5;1.45E+12;36;subSuperTrial;distr33;convertible;target;2;2;car;vehicle;socks;distrClass3;3;4;NA;clothing;horse;distrClass3;4;3;NA;animal;1;1;0;car;;1.45E+12;car;FALSE;FALSE;FALSE;;TRUE;;;;;;convertible;NA;NA;;;;;;;socks, convertible;socks, car;socks, vehicle;horse, convertible;horse, car;horse, vehicle
5934-3;1.45E+12;33;subSuperTrial;distr33;minivan;target;3;2;car;vehicle;bison;distrClass3;4;4;NA;animal;ivy;distrClass3;2;3;NA;plant;4;3;1;yeah;;;;;;;;;;;;;;;;;;;;;;;bison, minivan;bison, car;bison, vehicle;ivy, minivan;ivy, car;ivy, vehicle
7830-a;1.45E+12;28;subSuperTrial;distr33;tShirt;target;4;3;shirt;clothing;pretzels;distrClass3;2;4;NA;snack;ivy;distrClass3;3;2;NA;plant;1;1;0;blue;;1.45E+12;blue;FALSE;TRUE;FALSE;;;;;;;;tShirt;NA;NA;;;;;;;pretzels, tShirt;pretzels, shirt;pretzels, clothing;ivy, tShirt;ivy, shirt;ivy, clothing
4452-5;1.45E+12;51;subSuperTrial;distr33;picnicTable;target;4;2;table;furniture;chick;distrClass3;2;4;NA;animal;kitten;distrClass3;3;3;NA;animal;1;1;0;picnic table;;1.45E+12;picnic table;FALSE;FALSE;TRUE;;;;;;;;picnicTable;NA;NA;;;;;;;chick, picnicTable;chick, table;chick, furniture;kitten, picnicTable;kitten, table;kitten, furniture
8935-b;1.45E+12;38;subSuperTrial;distr33;hummingBird;target;3;2;bird;animal;ivy;distrClass3;2;3;NA;plant;lamp;distrClass3;4;4;NA;furniture;1;1;0;Flutter;;1.45E+12;Flutter;FALSE;FALSE;FALSE;TRUE;;;;;;;hummingBird;NA;NA;;;;;;;ivy, hummingBird;ivy, bird;ivy, animal;lamp, hummingBird;lamp, bird;lamp, animal
7830-a;1.45E+12;41;subSuperTrial;distr33;diningTable;target;4;4;table;furniture;squirrel;distrClass3;2;3;NA;animal;lion;distrClass3;3;2;NA;animal;1;1;0;table;;1.45E+12;table;FALSE;FALSE;FALSE;;TRUE;;;;;;diningTable;NA;NA;;;;;;;squirrel, diningTable;squirrel, table;squirrel, furniture;lion, diningTable;lion, table;lion, furniture
3695-5;1.45E+12;42;subSuperTrial;distr33;skittles;target;3;2;candy;snack;gloves;distrClass3;4;4;NA;clothing;lobster;distrClass3;2;3;NA;animal;1;1;0;m&ms;;1.45E+12;m&ms;FALSE;FALSE;TRUE;;;;;;;;skittles;NA;NA;;;;;;;gloves, skittles;gloves, candy;gloves, snack;lobster, skittles;lobster, candy;lobster, snack
2919-a;1.45E+12;44;subSuperTrial;distr33;mnMs;target;2;3;candy;snack;dress;distrClass3;4;2;NA;clothing;lobster;distrClass3;3;4;NA;animal;1;1;0;candy;;1.45E+12;candy;FALSE;FALSE;FALSE;;TRUE;;;;;;mnMs;NA;NA;;;;;;;dress, mnMs;dress, candy;dress, snack;lobster, mnMs;lobster, candy;lobster, snack
3504-8;1.45E+12;22;subSuperTrial;distr33;dressShirt;target;2;4;shirt;clothing;ivy;distrClass3;4;2;NA;plant;lobster;distrClass3;3;3;NA;animal;1;1;0;shirt;;1.45E+12;shirt;FALSE;FALSE;FALSE;;TRUE;;;;;;dressShirt;NA;NA;;;;;;;ivy, dressShirt;ivy, shirt;ivy, clothing;lobster, dressShirt;lobster, shirt;lobster, clothing
2919-a;1.45E+12;52;subSuperTrial;distr33;goldFish;target;2;3;fish;animal;bed;distrClass3;4;4;NA;furniture;motorcycle;distrClass3;3;2;NA;vehicle;1;1;0;fish;;1.45E+12;fish;FALSE;FALSE;FALSE;;TRUE;;;;;;goldFish;NA;NA;;;;;;;bed, goldFish;bed, fish;bed, animal;motorcycle, goldFish;motorcycle, fish;motorcycle, animal
7830-a;1.45E+12;70;subSuperTrial;distr33;pigeon;target;3;4;bird;animal;chips;distrClass3;4;3;NA;snack;motorcycle;distrClass3;2;2;NA;vehicle;1;1;0;bird;;1.45E+12;bird;FALSE;FALSE;FALSE;;TRUE;;;;;;pigeon;NA;NA;;;;;;;chips, pigeon;chips, bird;chips, animal;motorcycle, pigeon;motorcycle, bird;motorcycle, animal
7830-a;1.45E+12;46;subSuperTrial;distr33;blackBear;target;3;4;bear;animal;bathrobe;distrClass3;4;3;NA;clothing;popcorn;distrClass3;2;2;NA;snack;1;1;0;bear;;1.45E+12;bear;FALSE;FALSE;FALSE;;TRUE;;;;;;blackBear;NA;NA;;;;;;;bathrobe, blackBear;bathrobe, bear;bathrobe, animal;popcorn, blackBear;popcorn, bear;popcorn, animal
3504-8;1.45E+12;37;subSuperTrial;distr33;blackBear;target;2;3;bear;animal;bookcase;distrClass3;3;4;NA;furniture;popcorn;distrClass3;4;2;NA;snack;1;1;0;bear;;1.45E+12;bear;FALSE;FALSE;FALSE;;TRUE;;;;;;blackBear;NA;NA;;;;;;;bookcase, blackBear;bookcase, bear;bookcase, animal;popcorn, blackBear;popcorn, bear;popcorn, animal
5975-e;1.45E+12;61;subSuperTrial;distr33;germanShepherd;target;2;2;dog;animal;gloves;distrClass3;4;3;NA;clothing;popcorn;distrClass3;3;4;NA;snack;1;1;0;animal;;1.45E+12;animal;FALSE;FALSE;FALSE;;;TRUE;;;;;germanShepherd;NA;NA;;;;;;;gloves, germanShepherd;gloves, dog;gloves, animal;popcorn, germanShepherd;popcorn, dog;popcorn, animal
4393-a;1.45E+12;62;subSuperTrial;distr33;convertible;target;2;2;car;vehicle;dress;distrClass3;4;3;NA;clothing;popcorn;distrClass3;3;4;NA;snack;1;1;0;Car;;1.45E+12;Car;FALSE;FALSE;FALSE;;TRUE;;;;;;convertible;NA;NA;;;;;;;dress, convertible;dress, car;dress, vehicle;popcorn, convertible;popcorn, car;popcorn, vehicle
0198-d;1.45E+12;42;subSuperTrial;distr33;germanShepherd;target;3;3;dog;animal;popcorn;distrClass3;4;2;NA;snack;pottedPlant;distrClass3;2;4;NA;plant;1;1;0;dog;;1.45E+12;dog;FALSE;FALSE;FALSE;;TRUE;;;;;;germanShepherd;NA;NA;;;;;;;popcorn, germanShepherd;popcorn, dog;popcorn, animal;pottedPlant, germanShepherd;pottedPlant, dog;pottedPlant, animal
4517-f;1.45E+12;25;subSuperTrial;distr33;parrot;target;2;2;bird;animal;pottedPlant;distrClass3;4;3;NA;plant;pottedPlant;distrClass3;3;4;NA;plant;1;1;0;bird;;1.45E+12;bird;FALSE;FALSE;FALSE;;TRUE;;;;;;parrot;NA;NA;;;;;;;pottedPlant, parrot;pottedPlant, bird;pottedPlant, animal;pottedPlant, parrot;pottedPlant, bird;pottedPlant, animal
5975-e;1.45E+12;66;subSuperTrial;distr33;pug;target;2;4;dog;animal;bookcase;distrClass3;4;2;NA;furniture;pretzels;distrClass3;3;3;NA;snack;1;1;0;animal;;1.45E+12;animal;FALSE;FALSE;FALSE;;;TRUE;;;;;pug;NA;NA;;;;;;;bookcase, pug;bookcase, dog;bookcase, animal;pretzels, pug;pretzels, dog;pretzels, animal
7830-a;1.45E+12;61;subSuperTrial;distr33;minivan;target;2;2;car;vehicle;crocodile;distrClass3;4;3;NA;animal;pretzels;distrClass3;3;4;NA;snack;1;1;0;van;;1.45E+12;van;FALSE;FALSE;TRUE;;;;;TRUE;;;minivan;NA;NA;;;;;;;crocodile, minivan;crocodile, car;crocodile, vehicle;pretzels, minivan;pretzels, car;pretzels, vehicle
8430-f;1.45E+12;18;subSuperTrial;distr33;dalmatian;target;3;2;dog;animal;gloves;distrClass3;2;4;NA;clothing;pretzels;distrClass3;4;3;NA;snack;1;1;0;dog;;1.45E+12;dog;FALSE;FALSE;FALSE;;TRUE;;;;;;dalmatian;NA;NA;;;;;;;gloves, dalmatian;gloves, dog;gloves, animal;pretzels, dalmatian;pretzels, dog;pretzels, animal
3695-5;1.45E+12;11;subSuperTrial;distr33;grizzlyBear;target;4;4;bear;animal;firetruck;distrClass3;2;2;NA;vehicle;pretzels;distrClass3;3;3;NA;snack;1;1;0;bear;;1.45E+12;bear;FALSE;FALSE;FALSE;;TRUE;;;;;;grizzlyBear;NA;NA;;;;;;;firetruck, grizzlyBear;firetruck, bear;firetruck, animal;pretzels, grizzlyBear;pretzels, bear;pretzels, animal
8286-0;1.45E+12;61;subSuperTrial;distr33;gummyBears;target;3;2;candy;snack;cow;distrClass3;4;3;NA;animal;rabbit;distrClass3;2;4;NA;animal;1;1;0;candy;;1.45E+12;candy;FALSE;FALSE;FALSE;;TRUE;;;;;;gummyBears;NA;NA;;;;;;;cow, gummyBears;cow, candy;cow, snack;rabbit, gummyBears;rabbit, candy;rabbit, snack
5076-0;1.45E+12;49;subSuperTrial;distr33;tulip;target;4;3;flower;plant;train;distrClass3;3;2;NA;vehicle;rabbit;distrClass3;2;4;NA;animal;1;1;0;Flower;;1.45E+12;Flower;FALSE;FALSE;FALSE;;TRUE;;;;;;tulip;NA;NA;;;;;;;train, tulip;train, flower;train, plant;rabbit, tulip;rabbit, flower;rabbit, plant
5975-e;1.45E+12;45;subSuperTrial;distr33;husky;target;4;4;dog;animal;dress;distrClass3;2;2;NA;clothing;rosemary;distrClass3;3;3;NA;plant;1;1;0;animal;;1.45E+12;animal;FALSE;FALSE;FALSE;;;TRUE;;;;;husky;NA;NA;;;;;;;dress, husky;dress, dog;dress, animal;rosemary, husky;rosemary, dog;rosemary, animal
8430-f;1.45E+12;70;subSuperTrial;distr33;husky;target;2;3;dog;animal;ivy;distrClass3;4;4;NA;plant;rosemary;distrClass3;3;2;NA;plant;1;1;0;dog;;1.45E+12;dog;FALSE;FALSE;FALSE;;TRUE;;;;;;husky;NA;NA;;;;;;;ivy, husky;ivy, dog;ivy, animal;rosemary, husky;rosemary, dog;rosemary, animal
5076-0;1.45E+12;72;subSuperTrial;distr33;pandaBear;target;3;2;bear;animal;lamp;distrClass3;2;4;NA;furniture;rosemary;distrClass3;4;3;NA;plant;1;1;0;Panda;;1.45E+12;Panda;FALSE;FALSE;TRUE;;;;;;;;pandaBear;NA;NA;;;;;;;lamp, pandaBear;lamp, bear;lamp, animal;rosemary, pandaBear;rosemary, bear;rosemary, animal
0198-d;1.45E+12;41;subSuperTrial;distr33;sportsCar;target;2;3;car;vehicle;pretzels;distrClass3;4;2;NA;snack;sheep;distrClass3;3;4;NA;animal;1;1;0;car;;1.45E+12;car;FALSE;FALSE;FALSE;;TRUE;;;;;;sportsCar;NA;NA;;;;;;;pretzels, sportsCar;pretzels, car;pretzels, vehicle;sheep, sportsCar;sheep, car;sheep, vehicle
6456-4;1.45E+12;43;subSuperTrial;distr33;pandaBear;target;3;2;bear;animal;bed;distrClass3;4;4;NA;furniture;socks;distrClass3;2;3;NA;clothing;1;1;0;bear;;1.45E+12;bear;FALSE;FALSE;FALSE;;TRUE;;;;;;pandaBear;NA;NA;;;;;;;bed, pandaBear;bed, bear;bed, animal;socks, pandaBear;socks, bear;socks, animal
9551-7;1.45E+12;22;subSuperTrial;distr33;goldFish;target;4;3;fish;animal;ambulance;distrClass3;2;4;NA;vehicle;socks;distrClass3;3;2;NA;clothing;1;1;0;fish;;1.45E+12;fish;FALSE;FALSE;FALSE;;TRUE;;;;;;goldFish;NA;NA;;;;;;;ambulance, goldFish;ambulance, fish;ambulance, animal;socks, goldFish;socks, fish;socks, animal
5512-7;1.45E+12;70;subSuperTrial;distr33;blackBear;target;2;3;bear;animal;bathrobe;distrClass3;3;2;NA;clothing;socks;distrClass3;4;4;NA;clothing;1;1;0;bear;;1.45E+12;bear;FALSE;FALSE;FALSE;;TRUE;;;;;;blackBear;NA;NA;;;;;;;bathrobe, blackBear;bathrobe, bear;bathrobe, animal;socks, blackBear;socks, bear;socks, animal
3504-8;1.45E+12;70;subSuperTrial;distr33;pigeon;target;3;4;bird;animal;rosemary;distrClass3;4;2;NA;plant;socks;distrClass3;2;3;NA;clothing;1;1;0;bird;;1.45E+12;bird;FALSE;FALSE;FALSE;;TRUE;;;;;;pigeon;NA;NA;;;;;;;rosemary, pigeon;rosemary, bird;rosemary, animal;socks, pigeon;socks, bird;socks, animal
8935-b;1.45E+12;36;subSuperTrial;distr33;eagle;target;3;4;bird;animal;dress;distrClass3;2;2;NA;clothing;socks;distrClass3;4;3;NA;clothing;1;1;0;Black and white;;1.45E+12;Black and white;FALSE;TRUE;FALSE;;;;;;;;eagle;NA;NA;;;;;;;dress, eagle;dress, bird;dress, animal;socks, eagle;socks, bird;socks, animal
8684-3;1.45E+12;71;subSuperTrial;distr33;eagle;target;3;3;bird;animal;grasses;distrClass3;2;4;NA;plant;socks;distrClass3;4;2;NA;clothing;1;1;0;flies;;1.45E+12;flies;FALSE;FALSE;FALSE;;;;TRUE;;;;eagle;NA;NA;;;;;;;grasses, eagle;grasses, bird;grasses, animal;socks, eagle;socks, bird;socks, animal
3695-5;1.45E+12;9;subSuperTrial;distr33;suv;target;4;4;car;vehicle;lion;distrClass3;3;2;NA;animal;socks;distrClass3;2;3;NA;clothing;1;1;0;van again;;1.45E+12;van again;FALSE;FALSE;TRUE;;;;;;;;suv;NA;NA;;;;;;;lion, suv;lion, car;lion, vehicle;socks, suv;socks, car;socks, vehicle
